price,year,mileage,engine_l,fuel,gearbox,city,views,car_age,price_per_km
10200000.0,2025.0,5.0,1.5,other,automatic,Алматы,0,0.0,2040000.0
17500000.0,2008.0,180000.0,4.7,petrol,automatic,Костанай,0,17.0,97.22222222222223
9290000.0,2025.0,,1.5,other,other,Шымкент,0,0.0,
9290000.0,2025.0,,1.5,other,other,Шымкент,0,0.0,
7000000.0,2019.0,,1.6,petrol,automatic,Актау,0,6.0,
18700000.0,2012.0,,4.0,petrol,automatic,Алматы,0,13.0,
1100000.0,2013.0,150000.0,1.6,petrol,manual,Алматы,0,12.0,7.333333333333333
11000000.0,2016.0,266685.0,3.5,petrol,automatic,Актобе,0,9.0,41.2471642574573
7000000.0,2004.0,,4.4,petrol,automatic,Алматы,0,21.0,
1900000.0,1988.0,320000.0,2.0,petrol,manual,Актау,0,37.0,5.9375
1200000.0,1991.0,242800.0,1.8,petrol,manual,Туркестан,0,34.0,4.942339373970346
1000000.0,1994.0,400000.0,2.0,petrol,manual,Семей,0,31.0,2.5
5300000.0,2011.0,244416.0,2.5,petrol,automatic,Атырау,0,14.0,21.68434145064153
7200000.0,2005.0,123500.0,3.0,petrol,automatic,Алматы,0,20.0,58.29959514170041
2200000.0,1995.0,343556.0,2.0,petrol,automatic,Астана,0,30.0,6.403613966864208
10350000.0,2019.0,122000.0,2.5,petrol,cvt,Астана,0,6.0,84.8360655737705
